species,genus,family,ncbi_taxid,taxid_matched_rank,trophic_guilds,trophic_guild_primary,trophic_qa_answer,trophic_sources,body_size_range_mm,body_size_measurements_mm,body_size_qa_answer,body_size_sources,habitat_categories,habitat_qa_answer,habitat_sources
Marisotoma canaliculata,Marisotoma,Isotomidae,,,unknown,unknown,"there is no direct mention of what *Marisotoma canaliculata* feeds on. However, one document refers to *Drusilla canaliculata*, which is a type of rove beetle, not *Marisotoma canaliculata*. Therefore, the specific dietary habits of *Marisotoma canaliculata* are not addressed in the given sources .",18279565(medline),,,"there is no specific mention of the body length of *Marisotoma canaliculata*. However, related species such as *Drusilla canaliculata* and *Torodora canaliculata* are discussed, though their body lengths are not specified here . Therefore, the body length of *Marisotoma canaliculata* cannot be determined from the given sources.",39452132(medline)|39991530(medline),,"there is no specific information about the habitat of *Marisotoma canaliculata*. The term ""canaliculata"" appears in the names of several different species across various taxonomic groups, but none of the cited sources directly address the habitat of *Marisotoma canaliculata* .",03CC87B7FFE1FFD6FF2DFB75A472687D(plazi)|3D2D8793D40FF720FF02314302E73384(plazi)|C5657B52FFFCB37344D1FCA8CD020DEE(plazi)|E177585FC61D1B2FFF3CF96AFF65FF0E(plazi)|793021BC2ED3337F9F6D091DB02B729D(plazi)
Megalothorax carpaticus,Megalothorax,Neelidae,438499,genus,unknown,unknown,"there is no specific information regarding the diet or feeding habits of *Megalothorax carpaticus*. The sources describe its morphology, taxonomy, and habitat but do not mention its food source . Further research would be needed to determine its dietary preferences.",ADEE91046267A35124EC122FCB879B3F(plazi)|2DB6BA5AC5D079424DF75AD2C74C893A(plazi)|03E087E3FFA6FFE1409CF923FDC1FE4C(plazi),0.2-0.7,0.2|0.7,"0.2 to 0.7 mm is cited as the body length range for the genus Megalothorax, which includes Megalothorax carpaticus . However, no specific body length is directly given for Megalothorax carpaticus in the sources .",PMC4740829(pmc)|10.3897/subtbiol.40.69808(pmc)|10.11646/zootaxa.5590.2.3(pmc)|10.11646/zootaxa.5188.4.6(pmc)|PMC3428700(pmc),cave,"there is no specific information about the habitat of *Megalothorax carpaticus*. The document discusses *Megalothorax dobsinensis* and its habitat in a cold environment at Dobinsk Ice Cave, Slovakia, but does not mention *Megalothorax carpaticus* .",31716965(medline)
Megalothorax hipmani,Megalothorax,Neelidae,438499,genus,unknown,unknown,"there is no explicit information about the diet of *Megalothorax hipmani*. The sources discuss morphological characteristics and phylogenetic relationships within the genus *Megalothorax* but do not specify feeding habits ,. Further research would be needed to determine the specific dietary preferences of this species.",PMC4740829(pmc)|10.11646/zootaxa.5318.4.2(pmc),,,"the body length of *Megalothorax hipmani* is not explicitly stated. However, it is mentioned that *Megalothorax hipmani* differs from *M. draco* by having 3+3 teeth on retinaculum and 3+3 manubrial chaetae, among other characteristics . For precise body length measurements, additional references would be required.",03E087E3FFACFFFC409CFFD7FE0CFE69(plazi),cave,"there is no specific information about the habitat of *Megalothorax hipmani*. The document discusses *Megalothorax dobsinensis* sp. n., which inhabits a cold habitat at the entrance of Dobinsk Ice Cave, Slovakia, along an inverted temperature gradient . Information about *Megalothorax hipmani* is not included in the given sources.",31716965(medline)
Megalothorax incertus,Megalothorax,Neelidae,2579793,species,omnivore|algivore|detritivore|fungivore,omnivore,"there is no direct information about the diet of *Megalothorax incertus*. However, as a member of the order Collembola (springtails), it is likely that *Megalothorax incertus* feeds on decaying organic matter, fungi, or algae, which are typical food sources for many springtail species .",37518265(medline),0.7,0.7,the body length of *Megalothorax incertus* varies between 0.2 and 0.7 mm .,10.11646/zootaxa.5590.2.3(pmc),cave,"there is no direct mention of the habitat of *Megalothorax incertus*. However, it is noted that *Megalothorax dobsinensis* sp. n. inhabits a cold habitat along an inversed temperature gradient at the cave entrance of Dobinsk Ice Cave, Slovakia . This suggests that *Megalothorax incertus* may have a different habitat, as it is not specifically mentioned in relation to this location or any other…",31716965(medline)
Megalothorax minimus,Megalothorax,Neelidae,438500,species,predator|bacterivore,predator,"$Megalothorax minimus$ is associated with sediment and has potential interactions within the food web, but specific dietary preferences are not directly stated. However, it is mentioned that some Collembola species, which might include $Megalothorax minimus$, may feed on bacteria or bacterial feeding nematodes . Additionally, in a subterranean ecosystem, $Megalothorax minimus$ is part of the…",PMC7925651(pmc)|PMC8328430(pmc),,,"there is no specific mention of the body length of *Megalothorax minimus*. However, it is noted that *Megalothorax* species exhibit various morphological traits, including differences in body size depending on their ecological niche, such as troglobiotic adaptations . For precise measurements related to *Megalothorax minimus*, additional studies or references would be required.",25112769(medline),leaf_litter|soil|grassland,"*Megalothorax minimus* inhabits the soil of alfalfa fields in Iran . It is also noted to occur in soil and leaf litter under various tree types in Iran, including Persian ironwood, pine trees, and dead timber . The species has a cosmopolitan distribution .",721B6E0C8C27FF98FF38261DAF5F21FD(plazi)|721B6E0C8C26FF99FF382184A8FB27A9(plazi)
Megalothorax perspicillum,Megalothorax,Neelidae,1381478,species,detritivore,detritivore,"there is no explicit mention of the diet or feeding habits of *Megalothorax perspicillum*. The sources describe its morphology, taxonomy, and ecological habitat, noting that it inhabits soil and leaf litter under certain plants in Iran and possibly other regions . However, specific dietary preferences are not detailed in the given texts.",10.11646/zootaxa.5275.1.1(pmc),0.2-0.7,0.2|0.7,"the body length of *Megalothorax perspicillum* is not explicitly stated. However, it is mentioned that specimens identified as *M. cf. perspicillum* differ from the original description by having serrated labral a1 chaetae, suggesting that *M. perspicillum* may share similar characteristics with other described species in the genus, such as *Megalothorax minimus*, which has a body length ranging…",10.11646/zootaxa.5590.2.3(pmc),cave,"there is no specific information about the habitat of *Megalothorax perspicillum*. The document discusses *Megalothorax dobsinensis* found in a cold habitat at Dobinsk Ice Cave, Slovakia, but does not mention *Megalothorax perspicillum* or its habitat .",31716965(medline)
Megalothorax sanctistephani,Megalothorax,Neelidae,3394313,species,unknown,unknown,"there is no specific information regarding the diet or feeding habits of *Megalothorax sanctistephani*. The sources describe its distribution, morphological characteristics, and ecological preferences but do not mention its food source .",752287812A4CF97B2EFB8CFAFEE9AF77(plazi),,,"there is no specific mention of the body length of *Megalothorax sanctistephani*. The descriptions focus on morphological features such as claws, unguis, tenaculum, ventral tube, and ecological findings, but not on overall body dimensions . Therefore, the body length cannot be determined from the given sources.",752287812A4CF97B2EFB8CFAFEE9AF77(plazi),soil|cave,"*Megalothorax sanctistephani* is associated with soil environments rather than subterranean or cave habitats. It has been found in areas with poor organic soil, such as in Vienna and Paris, where it does not exhibit typical troglobitic adaptations like increased body size or elongated claws . This suggests that its primary habitat is terrestrial soils, not caves or underground environments.",10.11646/zootaxa.5590.2.3(pmc)
Megalothorax svalbardensis,Megalothorax,Neelidae,1381479,species,unknown,unknown,"there is no specific information regarding the diet or feeding habits of *Megalothorax svalbardensis*. The sources discuss morphology, taxonomy, and geographic distribution of various *Megalothorax* species but do not mention feeding behavior or food sources for any particular species. Therefore, the dietary preferences of *Megalothorax svalbardensis* cannot be determined from the available…",37044660(medline)|26877679(medline)|37518265(medline)|27110149(medline)|40173943(medline),,,"there is no specific mention of the body length of *Megalothorax svalbardensis*. The sources discuss various aspects of morphology, such as chaetotaxy, sensillar apparatus, and troglomorphic traits, but do not provide measurements related to body length for this particular species .",42407740(medline)|26877679(medline)|25112769(medline)|40173943(medline),cave,"there is no specific mention of the habitat of *Megalothorax svalbardensis*. The document discusses *Megalothorax dobsinensis* found in a cold habitat at Dobinsk Ice Cave, Slovakia, but does not provide information about *Megalothorax svalbardensis* . Therefore, the habitat of *Megalothorax svalbardensis* cannot be determined from the given sources.",31716965(medline)
Megalothorax tatrensis,Megalothorax,Neelidae,438499,genus,unknown,unknown,"there is no specific information regarding the diet or feeding habits of *Megalothorax tatrensis*. The sources discuss the morphology, taxonomy, and geographic distribution of various *Megalothorax* species but do not mention dietary preferences . Further research would be needed to determine the feeding ecology of this particular species.",37044660(medline)|26877679(medline)|37518265(medline)|27110149(medline)|40173943(medline),0.2-0.7,0.2|0.7,"the body length of *Megalothorax tatrensis* is not explicitly stated. However, it belongs to a genus where body lengths typically vary between 0.2 to 0.7 mm . Additional specific measurements for *Megalothorax tatrensis* would require direct reference to detailed taxonomic studies .",PMC4740829(pmc)|10.11646/zootaxa.5188.4.6(pmc)|25112769(medline),cave,"there is no specific mention of the habitat of *Megalothorax tatrensis*. The document discusses *Megalothorax dobsinensis* and its habitat in a cold environment at Dobinsk Ice Cave, Slovakia, but does not provide information about *Megalothorax tatrensis* .",31716965(medline)
Megalothorax willemi,Megalothorax,Neelidae,1381480,species,unknown,unknown,"there is no explicit information regarding the diet of *Megalothorax willemi*. The sources discuss its taxonomy, distribution, and genetic analysis but do not mention feeding habits . Further research would be needed to determine its dietary preferences.",PMC12547479(pmc)|PMC4740829(pmc)|10.11646/zootaxa.5318.4.2(pmc)|PMC10230187(pmc)|10.11646/zootaxa.5188.4.6(pmc),,,"there is no specific mention of the body length of *Megalothorax willemi*. The sources discuss various aspects of morphology, such as chaetotaxy, troglomorphy, and the presence of a ""nose,"" but they do not provide measurements related to body length for this particular species .",42407740(medline)|26877679(medline)|25112769(medline)|40173943(medline),soil|forest_wood,"*Megalothorax willemi* is recorded from forest soils under Persian ironwood, pine, and oak trees in Iran . This species has also been documented in France , suggesting a broader ecological range that includes temperate forest environments. The specific habitat details are primarily derived from Iranian records, indicating its association with forested areas.",10.11646/zootaxa.5318.4.2(pmc)|10.11646/zootaxa.5275.1.1(pmc)
