species,genus,family,ncbi_taxid,taxid_matched_rank,trophic_guild,trophic_guild_indirect,trophic_evidence_type,trophic_note,trophic_n_docs,trophic_sources,trophic_qa_answer,body_size_mm,body_size_indirect_mm,body_size_note,body_size_n_docs,body_size_sources,body_size_qa_answer,habitat,habitat_indirect,habitat_evidence_type,habitat_note,habitat_n_docs,habitat_sources,habitat_qa_answer,bold_n_specimens,bold_life_stage,bold_habitat,bold_sampling_protocol,bold_country,bold_province,bold_coord,bold_elev_m,bold_collection_dates,bold_biome,bold_ecoregion
Orchesella flavescens,Orchesella,Orchesellidae,48711,species,,,,the sources contain no explicit statement about this species' diet,7,41024936(medline)|721B6E0C8C34FF8BFF382560A9202318(plazi)|03E5878DFFCCFFABFFAEFB1884A2FAEF(plazi)|PMC12476540(pmc),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Orchesella flavescens* . Further research would be needed to determine its dietary preferences.",,,,7,41024936(medline)|721B6E0C8C34FF8BFF382560A9202318(plazi)|03CF878BFFCCC20F22A1585DFDB9AF40(plazi)|03E5878DFFCCFFABFFAEFB1884A2FAEF(plazi)|03AA531A0F5E3531FFA85FEBFD3CA2AF(plazi)|PMC12476540(pmc),"Based on the provided documents, there is no specific information regarding the body length of *Orchesella flavescens*. The source discusses the genome sequencing details but does not mention morphological characteristics such as body length .",,,,the sources give no explicit habitat description for this species,7,41024936(medline)|03E5878DFFCCFFABFFAEFB1884A2FAEF(plazi)|721B6E0C8C34FF8BFF382560A9202318(plazi)|PMC12476540(pmc),"Based on the provided documents, there is no specific information about the habitat of *Orchesella flavescens*. The source describes the genome sequence but does not mention ecological or environmental preferences . Additional research would be needed to determine its habitat.",1615,Adult|adult|immature|NA,"NA|EUNIS C3.232; Typha angustifolia beds. At waterhole.|EUNIS C3; Littoral zone of inland surface waterbodies. Flushed organic matter at lakeshore|Lake shore|Garden|Coniferous forest|R18 Perennial rocky calcareous grassland of subatlantic-submediterranean Europe|Spruce forest|G1.611, Medio-European collinar woodrush beech forests",NA|Moss/litter sample|Pitfall trap|Moss sample|Litter from decaying tree|Soil/litter sample|Malaise Trap|soil corer,Moldova|Denmark|Finland|Estonia|Norway|Sweden|Germany,Northern Ostrobothnia|Sor-Trondelag|Baden-Wuerttemberg|Vestfold|Mecklenburg-Vorpommern|Oppland,"NA|47.072567,28.391111",NA,2011-2022,NA|Temperate_Broadleaf_&_Mixed_Forest_simplify-0.001_buffered-0.018|Boreal_Forest_Taiga_simplify-0.1_buffered-0.018,NA|Central_European_mixed_forests|Baltic_mixed_forests|Scandinavian_and_Russian_taiga|Sarmatic_mixed_forests|Scandinavian_Montane_Birch_forest_and_grasslands
Orchesella multifasciata,Orchesella,Orchesellidae,48705,genus,,,,the sources contain no explicit statement about this species' diet,1,03AA531A0F5E3531FFA859A2FD61A0F7(plazi),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Orchesella multifasciata* . The sources mention its geographical distribution but do not describe its food source. Further research would be needed to determine what this species feeds on.",,,,1,03AA531A0F5E3531FFA859A2FD61A0F7(plazi),"Based on the provided documents, there is no specific information given about the body length of *Orchesella multifasciata*. The sources mention its distribution and collection locations but do not provide morphological details such as body length .",,forest_wood|soil,,the sources give no explicit habitat description for this species; no explicit habitat description in the sources; value inferred,1,03AA531A0F5E3531FFA859A2FD61A0F7(plazi),"Based on the provided documents, *Orchesella multifasciata* is found in various locations across Europe, including Ukraine, and specifically in regions of Vojvodina such as Fruška Gora, Deliblatska Pčinja, Sajan, Alibunar, Perlezenta, Jabuka, and Obedska Bara. These areas suggest that the species inhabits forested and possibly moist environments . However, specific habitat details such as soil type or vegetation preference are not explicitly mentioned in the sources.",6,,NA,NA,Moldova,,"47.072567,28.391111",NA,2011,NA,Central_European_mixed_forests
Orchesella orientalis,Orchesella,Orchesellidae,48705,genus,,,,the sources contain no explicit statement about this species' diet,1,03CF878BFFCDC20F201D58ADFBCEADA4(plazi),"Based on the provided documents, there is no specific information given about the diet or feeding habits of *Orchesella orientalis* . The sources mention its distribution and ecological aspects but do not specify what it feeds on.",,,,1,03CF878BFFCDC20F201D58ADFBCEADA4(plazi),"Based on the provided documents, there is no specific mention of the body length of *Orchesella orientalis*. The sources discuss its distribution and ecology but do not provide measurements related to body size . Further research would be needed to determine this characteristic.",,,,the sources give no explicit habitat description for this species,1,03CF878BFFCDC20F201D58ADFBCEADA4(plazi),"Based on the provided documents, *Orchesella orientalis* is found at an altitude of 1350 m in the region of Ariège, France . It has also been recorded in the Haute-Garonne and Hautes-Pyrénées regions, specifically near Saint-Gaudens and in the valley of Aure . The specific habitat details are not explicitly mentioned, but its distribution suggests it may inhabit mountainous or high-altitude areas.",3,,NA,NA,Moldova,,"47.072567,28.391111",NA,2011,NA,Central_European_mixed_forests
Orchesella pseudobifasciata,Orchesella,Orchesellidae,48705,genus,,,,,0,,,,,,0,,,,,,,0,,,6,,NA,NA,Moldova,,"47.072567,28.391111|NA",NA,2011,NA,Central_European_mixed_forests|NA
Orchesella spectabilis,Orchesella,Orchesellidae,48705,genus,,,,the sources contain no explicit statement about this species' diet,2,03AA531A0F41352EFF595CBEFCDFA751(plazi)|721B6E0C8C34FF8BFF382472A97A2008(plazi),"Based on the provided documents, there is no specific information about the diet of *Orchesella spectabilis*. The sources mention its general distribution and habitat but do not describe feeding habits , . Further research would be needed to determine its dietary preferences.",,,,2,03AA531A0F41352EFF595CBEFCDFA751(plazi)|721B6E0C8C34FF8BFF382472A97A2008(plazi),"Based on the provided documents, there is no specific information given about the body length of *Orchesella spectabilis*. The sources mention ecological preferences, geographic distributions, and collection locations but do not provide morphological details such as body length , .",leaf_litter,forest_wood,direct,no explicit habitat description in the sources; value inferred,2,721B6E0C8C34FF8BFF382472A97A2008(plazi)|03AA531A0F41352EFF595CBEFCDFA751(plazi),"Based on the provided documents, *Orchesella spectabilis* inhabits leaf litter . This species is distributed across the Palaearctic region, with specific records from Sweden and parts of Europe . The ecological preference for leaf litter suggests it thrives in moist, organic-rich environments typical of forest floors.",26,Adult,NA|Leaf litter,NA|Malaise Trap,Moldova|Sweden,Kalmar,"NA|47.28333,28.01667",NA,2011-2021,NA|Temperate_Broadleaf_&_Mixed_Forest_simplify-0.001_buffered-0.018,NA|Central_European_mixed_forests|Sarmatic_mixed_forests
Orchesella villosa,Orchesella,Orchesellidae,48706,species,microbivore|herbivore,,direct,,10,35070508(medline)|03CF878BFFCDC20C22A4596FFD5EABF1(plazi)|266B5D55F711FF83FF7EFD35450CFC41(plazi)|03AA531A0F41352EFF595D80FCEBA447(plazi)|PMC8761369(pmc),"Based on the provided documents, Orchesella villosa feeds on both plant material and microorganisms. Isotope analysis indicates that during drought and under organic farming, this species shows a higher proportion of microorganisms in its diet .",,,,10,19016914(medline)|35070508(medline)|19027878(medline)|18157861(medline)|22056322(medline)|266B5D55F711FF83FF7EFD35450CFC41(plazi)|03CF878BFFCDC20C22A4596FFD5EABF1(plazi)|03AA531A0F41352EFF595D80FCEBA447(plazi)|PMC8761369(pmc),"Based on the provided documents, there is no specific mention of the body length of *Orchesella villosa*. The sources discuss various aspects such as genetics, trophic niches, sperm morphology, and ultrastructural features, but none provide measurements related to body length .",,soil,,the sources give no explicit habitat description for this species,10,35070508(medline)|266B5D55F711FF83FF7EFD35450CFC41(plazi)|03CF878BFFCDC20C22A4596FFD5EABF1(plazi)|PMC8761369(pmc),"Based on the provided documents, Orchesella villosa is a Collembola species that inhabits environments where it can find suitable food resources, such as soil and possibly organic matter, given its dietary interactions with microorganisms and plant materials . However, specific details about its exact habitat preferences are not explicitly mentioned in the sources.",53,NA|Adult,NA|leaf litter,NA|Malaise Trap,United Kingdom|France|Belgium|Poland|Germany|Sweden,England|West-Vlaanderen|Normandie|Rhineland-Palatinate|Kalmar,"53.593,-3.056|NA",NA,2001-2025,Temperate_Broadleaf_&_Mixed_Forest_simplify-0.001_buffered-0.018|NA,Celtic_broadleaf_forests|NA|Western_European_broadleaf_forests|European_Atlantic_mixed_forests|Central_European_mixed_forests|English_Lowlands_beech_forests|Sarmatic_mixed_forests
Orthonychiurus rectopapillatus,Orthonychiurus,Onychiuridae,2073079,genus,,,,the sources contain no explicit statement about this species' diet,1,721B6E0C8C03FFBCFF3820C9AE5424D1(plazi),"Based on the provided documents, there is no specific information about the diet or feeding habits of *Orthonychiurus rectopapillatus* . The source mentions its ecological role in soil but does not specify what it feeds on. Further research would be needed to determine its dietary preferences.",,,,1,721B6E0C8C03FFBCFF3820C9AE5424D1(plazi),"Based on the provided documents, there is no specific mention of the body length of *Orthonychiurus rectopapillatus* . The sources describe its ecology, habitat, and taxonomic history but do not provide morphological measurements. Further research would be needed to determine its body length.",soil,,direct,,1,721B6E0C8C03FFBCFF3820C9AE5424D1(plazi),"Based on the provided documents, *Orthonychiurus rectopapillatus* inhabits soil environments in Iran . The species is part of the Palaearctic region's fauna .",5,,NA,NA,Moldova,,"47.28333,28.01667",NA,2011,NA,Central_European_mixed_forests
Pachyotoma curva,Pachyotoma,Isotomidae,281429,genus,,,,,0,,,,,,0,,,,,,,0,,,3,Adult,Glacier edge,NA,Italy,,NA,NA,2015,NA,NA
Paratullbergia callipygos,Paratullbergia,Tullbergiidae,2926730,species,,,,the sources contain no explicit statement about this species' diet,4,14686939(medline)|766487A4FFC79467FFC40CEBFA68FA65(plazi)|03CF878BFFA4C2672286585DFCE4AA0A(plazi)|721B6E0C8C05FFBAFF3823E8A9232230(plazi),"Based on the provided documents, there is no specific information about the diet of *Paratullbergia callipygos*. The document mentions its classification and Wolbachia infection status but not its feeding habits . Further research would be needed to determine its dietary preferences.",,,,4,14686939(medline)|721B6E0C8C05FFBAFF3823E8A9232230(plazi)|03CF878BFFA4C2672286585DFCE4AA0A(plazi)|766487A4FFC79467FFC40CEBFA68FA65(plazi),"Based on the provided documents, there is no specific information regarding the body length of *Paratullbergia callipygos*. The source discusses the detection of Wolbachia in this species but does not provide morphological details such as body length .",,,,the sources give no explicit habitat description for this species,4,14686939(medline)|721B6E0C8C05FFBAFF3823E8A9232230(plazi)|03CF878BFFA4C2672286585DFCE4AA0A(plazi),"Based on the provided documents, no specific information about the habitat of *Paratullbergia callipygos* is given . Further research would be needed to determine its ecological preferences or environmental conditions.",2,NA,"NA|G1.6, Beech woodland",NA,France|Germany,Hesse,"NA|50.2158,8.30275",NA,2020,NA|Temperate_Broadleaf_&_Mixed_Forest_simplify-0.001_buffered-0.018,NA|Western_European_broadleaf_forests
Parisotoma agrelli,Parisotoma,Isotomidae,187681,genus,,,,the sources contain no explicit statement about this species' diet,1,03CF878BFFD7C21521A55EECFDB6AEA3(plazi),"Based on the provided documents, there is no specific information given about the diet of *Parisotoma agrelli* . The sources mention its distribution and taxonomic details but do not describe feeding habits. Further research would be needed to determine its food source.",,,,1,03CF878BFFD7C21521A55EECFDB6AEA3(plazi),"Based on the provided documents, there is no specific information given about the body length of *Parisotoma agrelli* . The sources mention its distribution and taxonomic details but do not provide measurements or dimensions related to its body size.",,marine_coastal,,the sources give no explicit habitat description for this species; no explicit habitat description in the sources; value inferred,1,03CF878BFFD7C21521A55EECFDB6AEA3(plazi),"Based on the provided documents, the specific habitat of *Parisotoma agrelli* is not explicitly mentioned. However, it is noted to be distributed in ""Finistère"" and collected from ""Jardin du laboratoire de Roscoff,"" suggesting it may inhabit coastal or marine environments associated with these regions . Further details about its exact habitat preferences are lacking in the given sources.",5,Adult,Damp seashore meadow,NA,Norway,Vestfold,"59.0974,10.4088",NA,2014,NA,NA
Parisotoma ekmani,Parisotoma,Isotomidae,1095205,species,,,,the sources contain no explicit statement about this species' diet,3,03D2AD21BD25A73F86CEF9A467A0875C(plazi)|266B5D55F70AFF98FF7EFE97450CFC3C(plazi),"Based on the provided documents, there is no specific information regarding the feeding habits of *Parisotoma ekmani*. The sources describe morphological characteristics and taxonomic notes but do not mention dietary preferences or food sources , . Further research would be needed to determine its diet.",,,,3,266B5D55F70AFF98FF7EFE97450CFC3C(plazi),"Based on the provided documents, there is no specific mention of the body length of *Parisotoma ekmani*. The sources discuss taxonomy, synonyms, and morphological features but do not provide measurements . Therefore, the body length of *Parisotoma ekmani* is not specified in the given texts.",,,,the sources give no explicit habitat description for this species,3,266B5D55F70AFF98FF7EFE97450CFC3C(plazi),"Based on the provided documents, there is no explicit mention of the habitat of *Parisotoma ekmani*. The references primarily focus on taxonomy, nomenclature, and synonyms rather than ecological or habitat preferences . Therefore, specific habitat details for *Parisotoma ekmani* are not available from the given sources.",4,adult,Alpine,Soil/litter sample,Finland,,"67.692,24.446",NA|559,2019,Boreal_Forest_Taiga_simplify-0.1_buffered-0.018,Scandinavian_and_Russian_taiga
Parisotoma notabilis,Parisotoma,Isotomidae,187682,species,,,,the sources contain no explicit statement about this species' diet,15,30743842(medline)|16112312(medline)|28170395(medline)|42107862(medline)|23049931(medline)|721B6E0C8C23FF9CFF3820FCA8192218(plazi)|PMC5295681(pmc),"Based on the provided documents, there is no specific information regarding the diet of *Parisotoma notabilis*. The sources discuss its ecological roles, genetic diversity, and responses to environmental stressors, but none detail its feeding habits . Further research would be needed to determine its dietary preferences.",,,,15,16112312(medline)|23049931(medline)|30743842(medline)|42107862(medline)|28170395(medline)|40266792(medline)|03EA87B2FFA0FFF5FF26FF01FDD39B08(plazi)|DE3DBD36FFDDDC72E3DCFAE1FBCEF90B(plazi)|E03187B3FFF8D42FFF31F4FFFD6BF8C3(plazi)|039A87B5FFFD0E07FF25F8B4FBE5FDC9(plazi)|502187F3DD5AFF9CFF34FF5E0C06FE28(plazi)|721B6E0C8C23FF9CFF3820FCA8192218(plazi)|PMC5295681(pmc)|PMC3458803(pmc)|PMC9836473(pmc),"Based on the provided documents, there is no specific mention of the body length of Parisotoma notabilis. The sources discuss various aspects of this species, including its genetic diversity, ecological roles, and responses to environmental stressors, but none provide detailed physical measurements such as body length .",,,,,15,42107862(medline)|30743842(medline)|28170395(medline)|40266792(medline)|03E5878DFFC1FFA7FF5DF8D584B2F79D(plazi)|721B6E0C8C23FF9CFF3820FCA8192218(plazi)|03DD371FFFADFFD834F6FE72FBB6FD02(plazi)|03B387DE0E35FFBDBF8CF8F873A8E94B(plazi)|PMC3458803(pmc)|PMC5295681(pmc),"Based on the provided documents, *Parisotoma notabilis* inhabits various environments including contaminated industrial regions, such as the Ural Copper Smelter in Russia and red mud affected areas in Hungary . It is also found in gypsum karsts in Spain . This species is commonly associated with disturbed habitats and human-modified environments .",404,NA|Adult|adult|I,"NA|EUNIS G4; Formica polyctena nest. Deciduous forest|R1, Dry grasslands|R1M Lowland to montane, dry to mesic grassland usually dominated by Nardus stricta|Sphagnum bog|Arctic tundra","NA|Soil/litter sample, under Populus trichocarpa|Litter sample from decaying birch|Soil/litter sample|soil corer",France|Belgium|Italy|Spain|Poland|Norway|Denmark|Finland|United Kingdom|Germany|Ukraine|Serbia|Bulgaria|Croatia|Greece|Slovenia|Netherlands|Moldova|Estonia,Occitanie|Ile-de-France|Catalonia|Provence-Alpes-Cote d'Azur|Corsica|Baden-Wuerttemberg|Vestfold|Svalbard|England|Navarra|Auvergne-Rhones-Alpes,"46.64237,2.1940236|42.8032,1.45843|42.47,9.121",NA|310,2001-2022,NA|Temperate_Broadleaf_&_Mixed_Forest_simplify-0.001_buffered-0.018|Boreal_Forest_Taiga_simplify-0.1_buffered-0.018,"Western_European_broadleaf_forests|Pyrenees_conifer_and_mixed_forests|Tyrrhenian-Adriatic_sclerophyllous_and_mixed_forests|European_Atlantic_mixed_forests|Italian_sclerophyllous_and_semi-deciduous_forests|NA|Central_European_mixed_forests|Scandinavian_and_Russian_taiga|Northeast_Spain_and_Southern_France_Mediterranean_forests|Corsican_montane_broadleaf_and_mixed_forests|Baltic_mixed_forests|Celtic_broadleaf_forests|Iberian_sclerophyllous_and_semi-deciduous_forests|East_European_forest_steppe|Balkan_mixed_forests|Rodope_montane_mixed_forests|Pannonian_mixed_forests|English_Lowlands_beech_forests|Aegean_and_Western_Turkey_sclerophyllous_and_mixed_forests|Russian_Arctic_desert|Northeast_Spain_and_Southern_France_Mediterranean_forests, Alps_conifer_and_mixed_forests|Dinaric_Mountains_mixed_forests|Sarmatic_mixed_forests"
